conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text,translated_text,sentiment,date,engagement
1892908124417544205,2025-02-21 12:04:00+00:00,0,Bjir baru tau walikota kediri trnyata seamalmater seangkatan sm gue dan tetanggaan fakultasnya wkwk keren,1892908124417544205,,,in,Tangsel,0,0,0,https://x.com/gevgevariel/status/1892908124417544205,1368158733214261252,gevgevariel,bjir baru tau walikota kediri trnyata seamalmater seangkatan sm gue dan tetanggaan fakultasnya wkwk keren,Bjir just found out that the Mayor of Kediri Trnena Seamalmater in my SM and his neighboring faculty wkwk is cool,positive,2025-02-21,0
1867144733665231080,2024-12-12 09:49:32+00:00,0,Kediri - Kamis (12/12) Kepala Bapas Kediri menghadiri acara Peresmian UPT PPA Kota Kediri di Taman Sekartaji Kota Kediri. Acara ini dihadiri oleh Pj. Walikota Kediri Kepala Kejaksaan Negeri Kota Kediri KaBapas Kediri dan perwakilan stake holder lainnya. https://t.co/3Hoa3EqqSh,1867144747921588520,https://pbs.twimg.com/media/GeluQKobMAA7WHy.jpg,Bapas_Kediri,in,,0,1,0,https://x.com/Bapas_Kediri/status/1867144747921588520,925171301920129024,Bapas_Kediri,kediri kamis kepala bapas kediri menghadiri acara peresmian upt ppa kota kediri di taman sekartaji kota kediri acara ini dihadiri oleh pj walikota kediri kepala kejaksaan negeri kota kediri kabapas kediri dan perwakilan stake holder lainnya,"Kediri Thursday, Head of Bapas Kediri attended the inauguration ceremony of the Kediri City PPA UPT in the Secretariat of the Kediri City Sekartaji Park, this event was attended by the Acting Mayor of Kediri, Head of the Kediri City Prosecutor's Office, Kediri Kediri Regency and other stakeholder representatives",neutral,2024-12-12,0
1892398331651117221,2025-02-20 02:18:15+00:00,2,Terimakasih Pj Walikota Kediri Dr. Ir. Zanariah https://t.co/Wodty4Kibg Atas Pengabdian dan Dedikasinya untuk Kemajuan dan Pembangunan Kota Kediri Periode 2024 - 2025. #bnnkotakediri #bersinar #jatimsangar #kotakediri https://t.co/KPlzH3V4AA,1892398331651117221,https://pbs.twimg.com/media/GkMmPcpbUAImycA.jpg,,in,https://maps.app.goo.gl/Z97WNk,0,0,0,https://x.com/bnn_kotakediri/status/1892398331651117221,1438504955615141904,bnn_kotakediri,terimakasih pj walikota kediri dr ir zanariah atas pengabdian dan dedikasinya untuk kemajuan dan pembangunan kota kediri periode,Thank you Acting Mayor of Kediri Dr. Ir Zanariah for his dedication and dedication for the progress and development of the City of Kediri Period,positive,2025-02-20,2
1893108564341989775,2025-02-22 01:20:28+00:00,0,SIANJIR WALIKOTA KEDIRI YANG BARU SEANGKATAN GUE PAS KULIAH???? BURU BURU NYALONIN DIRI JUGA AH GUE JADI WALIKOTA BEKASI,1893108564341989775,,,in,Unknown,0,0,0,https://x.com/bukanjamalll/status/1893108564341989775,1135681263702904832,bukanjamalll,sianjir walikota kediri yang baru seangkatan gue pas kuliah buru buru nyalonin diri juga ah gue jadi walikota bekasi,"Sianjir, the new Mayor of Kediri, when I was in college, I was in a hurry to hunt down myself too, I was the Mayor of Bekasi",neutral,2025-02-22,0
1877347149450539325,2025-01-09 16:01:29+00:00,2,@KediriFess Awoakwok guyonan anyar : plonga plongo koyok walikota kediri,1877385213870780573,,KediriFess,in,Fire City,1,1,0,https://x.com/donttt_disturb/status/1877385213870780573,1064275788466290689,donttt_disturb,awoakwok guyonan anyar plonga plongo koyok walikota kediri,Awoakwok Anyar Joke Plongo Plongo Koyok Mayor Kediri,positive,2025-01-09,2
1894952467437404334,2025-02-27 03:27:29+00:00,0,Saya bertemu dengan Walikota Kediri Ibu Vinanda Prameswati SH https://t.co/KTZWdlhAjC yang di usia 26 tahun telah resmi dilantik menjadi Walikota termuda. Sosok inspiratif yang membuktikan dengan kerja keras dan tekad yang kuat tidak ada yang tidak mungkin untuk dicapai. https://t.co/kKwax776Mu,1894952467437404334,https://pbs.twimg.com/amplify_video_thumb/1894952328752701442/img/bDpDjGR_1ALcT0eW.jpg,,in,Indonesia,0,1,0,https://x.com/munafri_arfdn/status/1894952467437404334,1416751270665232384,munafri_arfdn,saya bertemu dengan walikota kediri ibu vinanda prameswati sh yang di usia tahun telah resmi dilantik menjadi walikota termuda sosok inspiratif yang membuktikan dengan kerja keras dan tekad yang kuat tidak ada yang tidak mungkin untuk dicapai,I met with the Mayor of Kediri Mrs. Vinanda Prameswati SH who at the age of the year had been officially appointed as the youngest Mayor of Inspirational Figure who proved with hard work and strong determination nothing was impossible to achieve,positive,2025-02-27,0
1892547341229375833,2025-02-21 02:58:55+00:00,0,@ipuleadership @Biryani568211 dhito itu bupati kabupaten kediri...bukan walikota kediri... https://t.co/2kLjCZV5Ab,1892770949562589281,,ipuleadership,in,,0,0,0,https://x.com/p_edi/status/1892770949562589281,170347663,p_edi,dhito itu bupati kabupaten kediribukan walikota kediri,Dhito is the Regent of the Department of the Mayor of Kediri,neutral,2025-02-21,0
1866079609529528693,2024-12-09 11:17:03+00:00,1,Pemkot Gelar OPM Pj Walikota Kediri : Masyarakat Jangan Panic Buying https://t.co/5yFWrxupjf,1866079609529528693,,,in,"Kediri, Jawa Timur, Indonesia",0,0,0,https://x.com/RadioANDIKA/status/1866079609529528693,292707369,RadioANDIKA,pemkot gelar opm pj walikota kediri masyarakat jangan panic buying,"City Government Holds OPM PJ Mayor of Kediri, don't panic buying",positive,2024-12-09,1
1892769086829903891,2025-02-21 02:51:30+00:00,0,Terimakasih Dr. Ir. Zanariah https://t.co/2F6Hm1c95x. Sebagai PJ. WALIKOTA KEDIRI Atas Dedikasi dan Pengabdian Terbaik Selama Memimpin Kota Kediri. https://t.co/qkBwxLRCnx,1892769086829903891,https://pbs.twimg.com/media/GkR3clUWUAEegh7.jpg,,in,Jl. Himalaya No. 4A Sukorame,0,0,0,https://x.com/bawaslukotaKDR/status/1892769086829903891,915478535384350720,bawaslukotaKDR,terimakasih dr ir zanariah sebagai pj walikota kediri atas dedikasi dan pengabdian terbaik selama memimpin kota kediri,Thank you Dr. Ir Zanariah as the Acting Mayor of Kediri for the best dedication and dedication while leading the city of Kediri,positive,2025-02-21,0
1871209187717632173,2024-12-23 15:00:10+00:00,0,Kakan kemenag menghadiri Pemecahan rekor muri english masive festival tahun 2024 yang di adakan oleh pemerintah kota Kediri. Kegiatan di adakan di taman brantas kota Kediri dengan diikuti sekitar 1.000 peserta english masive se kota kediri dibuka oleh Pj. Walikota Kediri https://t.co/R6k75KUDzh,1871209187717632173,https://pbs.twimg.com/media/Gffe1C3aQAAQE8X.jpg,,in,Jl. Mayor Bismo No. 06 Kediri ,0,0,0,https://x.com/kediri_kemenag/status/1871209187717632173,1229984385228668928,kediri_kemenag,kakan kemenag menghadiri pemecahan rekor muri english masive festival tahun yang di adakan oleh pemerintah kota kediri kegiatan di adakan di taman brantas kota kediri dengan diikuti sekitar peserta english masive se kota kediri dibuka oleh pj walikota kediri,"Kakan Ministry of Religion attended the Breaking Record of the MURI English Masive Masive Festival which was held by the City Government of Kediri, the activity was held at Taman Brantas Kediri City, followed by around Masive English participants in Kediri City.",positive,2024-12-23,0
