"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1891325158926811528","Mon Feb 17 03:13:51 +0000 2025","4246","Sebelumnya Pria Kota Kediri Tertangkap Tangan Jual Minuman Oplosan ke Anak di Bawah Umur (2024) Kini Anak SD sudah bisa bikin minuman Oplosan Sendiri (2025) Se-rusak ini generasi emas Indonesia Miris https://t.co/iQOoVecRKZ","1891325158926811528","https://pbs.twimg.com/ext_tw_video_thumb/1891325119680966656/pu/img/5WN2e5YMXPV9t5wg.jpg","","in","I N D O N E S I A","171","344","1004","https://x.com/Heraloebss/status/1891325158926811528","1251824880967774208","Heraloebss"
"1888191510543511567","Sat Feb 08 11:41:51 +0000 2025","37","yang gabisa ditemuin di surabaya / sidoarjo : punten pecel Punten Pecel mbenjeng mriki Malih nggih Pesantren Kota Kediri https://t.co/lmFPHxDMBG","1888191510543511567","https://pbs.twimg.com/media/GjQ0KSmbEAAck7W.jpg","","in","Jawa Timur, Indonesia","1","10","0","https://x.com/andi_997/status/1888191510543511567","1660088370977177600","andi_997"
"1863762815569571903","Tue Dec 03 01:50:56 +0000 2024","114","Baru lihat video ini walau Pilkada sudah lewat tetep pengen share untuk pelajaran. Dua calon wali kota Kediri dalam Pilkada adalah sama-sama perempuan. Tapi aneh sekali dalam kampanye satu calon merendahkan calon lainnya dengan jargon-jargon diskriminatif ke perempuan. https://t.co/WSXLuHxIhg","1863762815569571903","https://pbs.twimg.com/ext_tw_video_thumb/1863762747869294592/pu/img/bHkqn1wgf7kTxLe6.jpg","","in","Yogyakarta, Indonesia","7","10","21","https://x.com/mardiasih/status/1863762815569571903","164627338","mardiasih"
"1891776578121810045","Tue Feb 18 09:07:38 +0000 2025","12","Seorang Pengemis viral karena membawa uang Rp40 juta. Dirinya terjaring razia Satpol PP Kota kediri padaRabu sore (12/2/2024). Uang Rp40 juta itu terdiri dari uang logam hingga pecahan seratus ribu yang disimpan dalam plastik. Usai didata dan dibina semua uang dan bekal https://t.co/13UZ3W0d7x","1891776578121810045","https://pbs.twimg.com/ext_tw_video_thumb/1891776386593062913/pu/img/5SKg1lYMYtjaBT7y.jpg","","in","Pulo Gadung, Indonesia","0","2","2","https://x.com/tvOneNews/status/1891776578121810045","55507370","tvOneNews"
"1893117752858288428","Sat Feb 22 01:56:59 +0000 2025","214","Wali Kota Kediri Vinanda Prameswati tampil memukau di retret Magelang. Begini sosok dan komitmen wali kota berusia 26 tahun tersebut. Via @detikjatim_ https://t.co/EKQhrvo3BO","1893117752858288428","","","in","","43","110","27","https://x.com/detikcom/status/1893117752858288428","69183155","detikcom"
"1890023341378994397","Thu Feb 13 13:00:54 +0000 2025","0","Satpol PP Kota Kediri mengamankan pengemis tua berinisial AR (70) di Simpang Empat Jalan Kawi Mojoroto setelah laporan masyarakat tentang tindakannya yang agresif meminta uang. Saat diamankan AR membawa uang sekitar Rp30-40 juta. Gimana pendapat kamu soal ini? Baca berita https://t.co/w7G0WhfUJq","1890023341378994397","https://pbs.twimg.com/media/Gjq2MdqXYAANgtG.jpg","","in","Jakarta","0","0","0","https://x.com/Beritasatu/status/1890023341378994397","154102750","Beritasatu"
"1893163758891196691","Sat Feb 22 04:59:48 +0000 2025","0","Vinanda lahir di Surabaya Jawa Timur pada 12 Juni 1998. Ia baru berusia 26 tahun 8 bulan saat dilantik menjadi Wali Kota Kediri. https://t.co/ssp17KmNJN via @tribunnews","1893163758891196691","","","in","Aceh","0","1","0","https://x.com/serambinews/status/1893163758891196691","64635651","serambinews"
"1888924930332643661","Mon Feb 10 12:16:12 +0000 2025","12","˗ˏˋ keliling kota kediri bersama jisung ´ˎ˗ #NSD #NctzenSelcaDay #JISUNG #NCT #NCTDREAM @NCTsmtown @NCTsmtown_DREAM https://t.co/BPvtSSBkG7","1888924930332643661","https://pbs.twimg.com/amplify_video_thumb/1888924821695971329/img/nNroLnGpu9FCGXwr.jpg","","in","'08 , 🇮🇩🇲🇾","0","8","4","https://x.com/yoowziie/status/1888924930332643661","1398697376798306304","yoowziie"
"1872581366036193594","Fri Dec 27 09:52:43 +0000 2024","10","Satreskrim Polres Kediri Kota Jawa Timur menetapkan dua anggota lembaga swadaya masyarakat (LSM) yang mengadang mobil Kajari Kediri Pradhana Probo Setyarjo sebagai tersangka. Kedua anggota LSM itu yakni HFL (33) warga Kecamatan Kediri Kota Kediri dan AF (42) warga Kecamatan https://t.co/dnM1ur1n8v","1872581366036193594","https://pbs.twimg.com/ext_tw_video_thumb/1872581053766066176/pu/img/yVNn9l9v-rtKN-ZE.jpg","","in","Pulo Gadung, Indonesia","0","3","6","https://x.com/tvOneNews/status/1872581366036193594","55507370","tvOneNews"
"1888106244222882102","Sat Feb 08 06:03:02 +0000 2025","23","Tak kasih infoo lurr Sore nanti Ashel dan cast Petaka Gunung Gede lainnya akan berkunjung ke kota tercinta kita Kota Kediri tepatnya di Golden Theatre Kediri. cepet amankan tiket nonton filmnya lurr!!! https://t.co/kolKabmzcq","1888106244222882102","https://pbs.twimg.com/media/GjPmn0ua0AEywIx.jpg","","in","Kota Kediri, Indonesia","3","3","7","https://x.com/KDR48Breeze/status/1888106244222882102","1559233938110832640","KDR48Breeze"
